"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","checkCart","Sauce Demo SmokeTest","Thu Jan 09 19:39:06 GMT 2025","skipped","Thu Jan 09 19:39:06 GMT 2025","tests.CartTest","Thread#1","tests.CartTest","checkCart"
"Проверка входа в систему интернет магазина юзера с позитивными кредами","2","Проверка позитивного логина","Sauce Demo SmokeTest","Thu Jan 09 19:39:06 GMT 2025","skipped","Thu Jan 09 19:39:06 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","checkLogin"
"","1","checkNegativeLogin","Sauce Demo SmokeTest","Thu Jan 09 19:39:06 GMT 2025","skipped","Thu Jan 09 19:39:06 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","checkNegativeLogin"
"Открытие браузера","2","setup","Sauce Demo SmokeTest","Thu Jan 09 19:39:06 GMT 2025","broken","Thu Jan 09 19:39:06 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","setup"
"","1","checkNegativeLogin","Sauce Demo SmokeTest","Thu Jan 09 19:39:06 GMT 2025","skipped","Thu Jan 09 19:39:06 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","checkNegativeLogin"
"","0","checkLoginWithEmptyUserName","Sauce Demo SmokeTest","Thu Jan 09 19:39:06 GMT 2025","skipped","Thu Jan 09 19:39:06 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","checkLoginWithEmptyUserName"
"","1","checkNegativeLogin","Sauce Demo SmokeTest","Thu Jan 09 19:39:06 GMT 2025","skipped","Thu Jan 09 19:39:06 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","checkNegativeLogin"
"","1","checkLoginWithErrorPassword","Sauce Demo SmokeTest","Thu Jan 09 19:39:06 GMT 2025","skipped","Thu Jan 09 19:39:06 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","checkLoginWithErrorPassword"
"Открытие браузера","3","setup","Sauce Demo SmokeTest","Thu Jan 09 19:39:06 GMT 2025","broken","Thu Jan 09 19:39:06 GMT 2025","tests.CartTest","Thread#1","tests.CartTest","setup"
"","0","checkLoginWithEmptyPassword","Sauce Demo SmokeTest","Thu Jan 09 19:39:06 GMT 2025","skipped","Thu Jan 09 19:39:06 GMT 2025","tests.LoginTest","Thread#2","tests.LoginTest","checkLoginWithEmptyPassword"
